Year, month, day, hour, T2 (C)
2020,   4,   1,   0, 20.5571
2020,   4,   1,   1, 20.5231
2020,   4,   1,   2, 20.6615
2020,   4,   1,   3, 20.8616
2020,   4,   1,   4, 20.8429
2020,   4,   1,   5, 20.9060
2020,   4,   1,   6, 20.5619
2020,   4,   1,   7, 20.4547
2020,   4,   1,   8, 20.4153
2020,   4,   1,   9, 20.4083
2020,   4,   1,  10, 20.1188
2020,   4,   1,  11, 20.1201
2020,   4,   1,  12, 20.4137
2020,   4,   1,  13, 21.0517
2020,   4,   1,  14, 21.8721
2020,   4,   1,  15, 21.8372
2020,   4,   1,  16, 20.5603
2020,   4,   1,  17, 20.3303
2020,   4,   1,  18, 23.3053
2020,   4,   1,  19, 24.8594
2020,   4,   1,  20, 26.3774
2020,   4,   1,  21, 26.0706
2020,   4,   1,  22, 25.4657
2020,   4,   1,  23, 24.6530
2020,   4,   2,   0, 23.5603
2020,   4,   2,   1, 23.3622
2020,   4,   2,   2, 23.3315
